73,,"47.3530","43.3680","47.3620","43.3620",
74,,"47.3630","43.3620","47.3330","43.3150",
75,,"47.0230","43.4230","47.0250","43.020",
76,,"46.9450","43.3110","46.9460","43.0060",
77,,"46.9160","43.3120","46.9190","43.4140",
78,,"46.9610","43.3120","46.9630","43.4290",
79,,"47.0240","43.1970","46.9450","43.1980",
80,,"46.990","43.1550","47.0240","43.1550",
81,,"46.9690","43.1260","47.0230","43.1250",
82,,"46.9590","43.0950","47.0240","43.0960",
83,,"47.210","43.2720","47.210","43.3140",
84,,"46.6830","43.6280","46.7360","43.6270",
85,,"46.7390","43.6280","46.7460","43.6330",
86,,"46.7470","43.6340","46.7510","43.6410",
87,,"46.750","43.6430","46.750","43.6870",
88,,"46.680","43.6860","47.2880","43.7060",
89,,"47.2880","43.7050","47.3030","43.6960",
90,,"47.3020","43.6960","47.3040","43.5260",
91,,"47.3050","43.5260","47.1630","43.5190",
92,,"46.750","43.6410","46.7570","43.6350",
93,,"46.7570","43.6350","46.810","43.6370",
94,,"46.8080","43.6880","46.810","43.6370",
95,,"46.8130","43.5310","46.8090","43.6370",
96,,"46.8130","43.5320","46.7890","43.5320",
97,,"46.8130","43.5330","46.9740","43.5310",
98,,"46.9740","43.5330","46.9690","43.6260",
99,,"46.9690","43.6270","46.960","43.6620",
100,,"46.960","43.6630","46.9470","43.6730",
101,,"46.9770","43.4910","46.9730","43.5320",
102,,"46.9770","43.4930","46.9680","43.4870",
103,,"46.9670","43.4880","46.8090","43.4840",
104,,"46.8110","43.4850","46.8150","43.5320",
105,,"46.9470","43.6730","46.9220","43.6950",
106,,"46.6780","43.6860","46.680","43.7370",
107,,"46.6780","43.7390","46.7030","43.7750",
108,,"46.7040","43.7770","46.7490","43.8230",
109,,"46.750","43.8230","46.8720","43.8260",
110,,"46.8720","43.8250","47.0250","43.8290",
111,,"47.0260","43.830","47.0850","43.9680",
112,,"47.2290","43.880","47.1030","43.8820",
113,,"47.1040","43.8830","47.0550","43.8510",
114,,"47.0540","43.8510","47.0470","43.8530",
115,,"47.0470","43.8530","47.0520","43.8930",
116,,"47.0520","43.8930","47.0530","43.9040",
117,,"47.0520","43.9060","47.0480","43.9070",
118,,"47.0470","43.9070","47.0410","43.8990",
119,,"47.0410","43.8990","47.0360","43.8570",
120,,"46.680","43.7130","46.8250","43.7230",
121,,"46.8240","43.7240","46.8240","43.810",
122,,"46.8240","43.8110","46.850","43.810",
123,,"46.8520","43.8010","46.850","43.810",
124,,"46.8250","43.7230","46.9370","43.7290",
125,,"46.9370","43.7320","46.9430","43.7430",
126,,"46.9430","43.7450","46.9490","43.8270",
127,,"46.7160","43.7880","46.7390","43.770",
128,,"46.7390","43.7720","46.8050","43.7690",
129,,"46.7790","43.8240","46.7780","43.7980",
130,,"46.7790","43.7990","46.7810","43.7830",
131,,"46.7810","43.7820","46.7870","43.770",
132,,"46.7340","43.7750","46.7560","43.7990",
133,,"46.7770","43.7980","46.7560","43.80",
134,,"46.6780","43.7160","46.280","43.7050",
135,,"46.280","43.7050","46.2750","43.7130",
136,,"46.2750","43.7130","46.2630","43.7170",
137,,"46.2630","43.7180","46.260","43.750",
138,,"46.260","43.7510","46.2670","43.7570",
