-0.166959	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	0.203590	
-1.398921	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	-0.294831	
-1.245060	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	-0.291020	
-0.191896	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	0.573252	
-1.270061	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	-0.102432	
-0.762828	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	0.125857	
-0.738878	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	-0.197968	
-0.102957	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	-0.227613	
-0.124398	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	-0.012240	
0.431737	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	-0.098865	
0.521198	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	0.264004	
1.228327	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	0.032166	
0.805985	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	-0.097597	
1.532874	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	0.212643	
2.013733	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	0.647551	
1.156911	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	0.044714	
0.740353	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	0.141787	
0.090259	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	0.153376	
-0.467748	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	-0.217721	
-0.672060	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	0.000325	
-0.521542	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	0.046714	
-0.503276	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	0.135909	
-0.140422	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	0.178269	
0.184486	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	0.159588	
0.512097	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	-0.036788	
0.419634	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	0.181900	
